haplotype	first	last	duration	total	prefecture
1	2021-05-18	2021-09-21	127	198	Kanagawa
1	2021-06-05	2021-08-11	68	3	Iwate
1	2021-06-10	2021-09-29	112	1030	Tokyo
1	2021-06-17	2021-09-14	90	281	Saitama
1	2021-06-24	2021-09-10	79	100	Chiba
1	2021-06-24	2021-09-07	76	6	Kagawa
1	2021-06-26	2021-08-30	66	49	Ibaraki
1	2021-06-28	2021-09-01	66	64	Fukuoka
1	2021-06-30	2021-09-03	66	33	Gunma
1	2021-06-30	2021-10-05	98	268	Osaka
1	2021-07-05	2021-08-20	47	7	Toyama
1	2021-07-06	2021-09-02	59	71	Hokkaido
1	2021-07-09	2021-08-19	42	25	Mie
1	2021-07-10	2021-08-29	51	7	Hiroshima
1	2021-07-12	2021-08-23	43	16	Yamaguchi
1	2021-07-16	2021-09-13	60	27	Tochigi
1	2021-07-19	2021-08-27	40	28	Aichi
1	2021-07-20	2021-08-30	42	10	Kumamoto
1	2021-07-22	2021-09-08	49	9	Yamanashi
1	2021-07-23	2021-10-01	71	39	Shizuoka
1	2021-07-24	2021-10-05	74	12	Wakayama
1	2021-07-25	2021-08-29	36	4	Nagasaki
1	2021-07-26	2021-09-27	64	22	Kyoto
1	2021-07-26	2021-08-13	19	14	Nagano
1	2021-07-26	2021-08-21	27	36	Miyagi
1	2021-07-26	2021-10-13	80	120	Hyogo
1	2021-07-26	2021-08-18	24	8	Shiga
1	2021-07-27	2021-08-14	19	4	Miyazaki
1	2021-07-27	2021-08-25	30	7	Nara
1	2021-07-27	2021-09-06	42	28	Yamagata
1	2021-07-29	2021-09-26	60	9	Oita
1	2021-07-29	2021-08-27	30	5	Okinawa
1	2021-07-31	2021-09-10	42	11	Fukui
1	2021-08-02	2021-08-02	1	1	Gifu
1	2021-08-03	2021-08-08	6	3	Tokushima
1	2021-08-03	2021-08-03	1	1	Ehime
1	2021-08-04	2021-08-05	2	3	Akita
1	2021-08-06	2021-08-07	2	2	Fukushima
1	2021-08-07	2021-08-27	21	3	Kagoshima
1	2021-08-10	2021-08-17	8	3	Ishikawa
1	2021-08-11	2021-08-26	16	6	Saga
1	2021-08-11	2021-08-30	20	15	Okayama
1	2021-08-12	2021-08-22	11	4	Niigata
1	2021-08-19	2021-08-19	1	1	Shimane
1.1	2021-08-14	2021-08-28	15	7	Fukuoka
1.2	2021-07-30	2021-08-08	10	12	Ibaraki
1.3	2021-08-07	2021-08-07	1	1	Tokyo
1.3.1.1	2021-08-24	2021-08-24	1	1	Chiba
1.3.1|1.909.1	2021-08-14	2021-08-14	1	1	Kanagawa
1.3.1|1.909.1	2021-08-23	2021-08-23	1	1	Tokyo
1.4	2021-08-14	2021-08-14	1	1	Tokyo
1.5	2021-08-11	2021-08-12	2	2	Chiba
1.5.1	2021-08-26	2021-08-27	2	5	Chiba
1.5.1.1	2021-08-28	2021-08-28	1	1	Chiba
1.5.2	2021-08-10	2021-08-30	21	6	Chiba
1.5.2.1	2021-08-19	2021-08-19	1	1	Chiba
1.5.3	2021-08-18	2021-08-19	2	3	Saitama
1.5.3	2021-08-24	2021-08-24	1	1	Chiba
1.5.4	2021-08-10	2021-08-17	8	4	Saitama
1.5.4	2021-08-12	2021-08-17	6	2	Tokyo
1.5.4.1	2021-08-25	2021-08-31	7	2	Kanagawa
1.5.4.1.1	2021-08-25	2021-08-25	1	1	Kanagawa
1.5.4.1.2	2021-08-26	2021-08-26	1	1	Kanagawa
1.5.4.2	2021-08-15	2021-08-15	1	1	Saitama
1.5.4.3	2021-08-28	2021-08-28	1	1	Kanagawa
1.5.4.3	2021-09-02	2021-09-02	1	1	Nagano
1.5.x.1	2021-09-06	2021-09-13	8	2	Shizuoka
1.5.x.1.1	2021-09-13	2021-09-13	1	1	Shizuoka
1.5.x.1.x.1	2021-09-13	2021-09-13	1	1	Shizuoka
1.6	2021-07-22	2021-07-22	1	1	Tokyo
1.6.1	2021-07-19	2021-07-19	1	1	Tokyo
1.7	2021-07-30	2021-08-05	7	2	Shizuoka
1.8	2021-08-12	2021-09-10	30	10	Hokkaido
1.8	2021-08-14	2021-08-14	1	1	Tokyo
1.8.1	2021-08-23	2021-08-23	1	1	Hokkaido
1.8.2	2021-08-20	2021-08-20	1	1	Hokkaido
1.8.3	2021-08-15	2021-08-18	4	2	Hokkaido
1.9	2021-07-29	2021-07-29	1	1	Kanagawa
1.10	2021-08-10	2021-08-10	1	1	Fukuoka
1.11	2021-08-03	2021-08-03	1	1	Tokyo
1.11	2021-08-04	2021-08-05	2	2	Shizuoka
1.11.1	2021-08-10	2021-08-14	5	2	Tokyo
1.11.2	2021-09-08	2021-09-08	1	1	Shizuoka
1.11.3	2021-08-07	2021-08-07	1	1	Shizuoka
1.11.4	2021-08-12	2021-08-12	1	1	Chiba
1.12	2021-07-25	2021-07-25	1	1	Tokyo
1.13	2021-07-19	2021-07-19	1	1	Tokyo
1.14	2021-07-21	2021-08-07	18	7	Tokyo
